row_id,event_id,layer,original_value
84,india-fiu-offshore-vda-block-2023,l0_network,plausible
85,kraken-uk-derivatives-exit-2021,offramp_cex,plausible
86,bitfinex-cftc-retail-commodity-2016,offramp_cex,direct
87,poloniex-circle-us-token-geofence-2019-05,offramp_cex,direct
88,circle-usdc-cryptex-freeze-2024,asset_onchain,direct
89,sinbad-doj-2024,l4_frontend,direct
90,sinbad-doj-2024,offramp_cex,direct
91,chipmixer-doj-2023,l4_frontend,direct
92,sec-lbry-lbc-unregistered-securities-2021-03,offramp_cex,direct
93,germany-bafin-binance-licence-withdrawal-2023,offramp_cex,plausible
94,okx-aux-cayes-doj-guilty-plea-2025,offramp_cex,direct
95,opensea-iran-cuba-sanctions-block-2022,l4_frontend,plausible
96,opensea-iran-cuba-sanctions-block-2022,l4_frontend,plausible
97,kucoin-doj-2024,l4_frontend,direct
98,kucoin-doj-2024,offramp_cex,direct
99,china-search-engine-social-keyword-exchange-block-2021-06,l4_frontend,plausible
100,japan-fsa-six-exchange-orders-2018-06,offramp_cex,plausible
101,japan-fsa-six-exchange-orders-2018-06,offramp_cex,plausible
102,china-ndrc-mining-eliminated-industry-notice-2021-09,offramp_cex,direct
103,binance-uk-new-user-halt-2023-10,offramp_cex,direct
104,dprk-usdt-network-ofac-2025,asset_onchain,direct
105,voyager-bankruptcy-doj-objection-2023,offramp_cex,direct
106,tornado-cash-github-takedown-2022-08,l4_frontend,plausible
107,tether-garantex-usdt-freeze-2025-03,offramp_cex,plausible
108,egold-doj-indictment-2007-04,offramp_cex,plausible
109,bitfinex-tether-nyag-2021,offramp_cex,direct
110,bitfinex-tether-nyag-2021,offramp_cex,direct
111,uk-fca-binance-markets-2021,offramp_cex,direct
112,uk-fca-binance-markets-2021,l4_frontend,direct
113,datacell-v-valitor-iceland-district-court-2012-07,offramp_cex,direct
114,okx-india-exit-2024-03,offramp_cex,plausible
115,thailand-sec-crypto-payment-ban-2022-04,offramp_cex,direct
116,philippines-sec-binance-block-2024,l0_network,plausible
117,philippines-sec-binance-block-2024,offramp_cex,plausible
118,semenov-ofac-2023,asset_onchain,direct
119,semenov-ofac-2023,asset_onchain,direct
120,binance-busd-wind-down-2024,offramp_cex,direct
121,nydfs-bitlicense-2015-06,l4_frontend,direct
122,nydfs-bitlicense-2015-06,l4_frontend,plausible
123,nydfs-bitlicense-2015-06,l4_frontend,plausible
124,aave-arc-fireblocks-whitelist-2022-01,l4_frontend,direct
125,binance-eea-usdt-spot-delisting-2025-03,offramp_cex,direct
126,thailand-sec-binance-bybit-c-and-d-2021,offramp_cex,plausible
127,cftc-defi-opyn-zeroex-deridex-2023-09,l4_frontend,direct
128,wikileaks-postfinance-account-closure-2010-12,offramp_cex,direct
129,qatar-qcb-qfcra-virtual-asset-ban-2019-12,offramp_cex,plausible
130,indonesia-bappebti-illegal-exchange-block-2023,l4_frontend,direct
131,indonesia-bappebti-illegal-exchange-block-2023,offramp_cex,plausible
132,eu-16th-russia-sanctions-2025,offramp_cex,direct
133,thailand-bot-bitcoin-prohibition-2013,offramp_cex,direct
134,pakistan-sbp-crypto-prohibition-2018-04,offramp_cex,direct
135,binance-monero-global-delisting-2024-02,offramp_cex,direct
136,sec-burnside-bitcoin-stock-exchange-2014,l4_frontend,direct
137,sec-burnside-bitcoin-stock-exchange-2014,offramp_cex,direct
138,coinbase-eu-usdt-stablecoin-delisting-2024-12,offramp_cex,direct
139,genesis-sec-gemini-earn-2023,offramp_cex,direct
140,genesis-sec-gemini-earn-2023,offramp_cex,plausible
141,crypto-com-eu-usdt-stablecoin-delisting-2025-01,offramp_cex,plausible
142,huobi-htx-privacy-coin-delisting-2024,offramp_cex,direct
143,coin-mx-doj-murgio-2015,offramp_cex,direct
144,russia-mining-regional-ban-2024-12,l1_consensus,plausible
145,korea-travel-rule-2022,offramp_cex,direct
146,iran-cbi-crypto-banking-prohibition-2018,offramp_cex,plausible
147,binance-cftc-2023,offramp_cex,direct
148,wikileaks-amazon-aws-eviction-2010-12,l4_frontend,plausible
149,binance-russia-exit-commex-2023,offramp_cex,direct
150,sec-poloniex-unregistered-exchange-2021-08,offramp_cex,direct
151,eu-mica-2023,offramp_cex,direct
152,binance-dex-29-country-geoblock-2019-07,l4_frontend,plausible
153,algeria-finance-law-2018-crypto-prohibition,offramp_cex,direct
154,sec-etherdelta-coburn-unregistered-exchange-2018-11,l4_frontend,direct
155,blockfi-multistate-cease-desist-bia-2021-07,offramp_cex,direct
156,silk-road-doj-seizure-2013,l4_frontend,direct
