queue_id,event_id,bucket,audit_stage,human_audit_status,trigger_citation_count,trigger_replayable_anchor_count,primary_observation_source_count,primary_replayable_observation_source_count,trigger_url_hosts,packet_path,reviewer,reviewed_at,trigger_unit_confirmed,replayable_trigger_anchor_confirmed,observations_confirmed,scoped_claim_confirmed,decision,decision_reason
78,eu-russia-full-crypto-wallet-ban-2022,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,1,1,eur-lex.europa.eu,analysis/review_queue/packets/0078-eu-russia-full-crypto-wallet-ban-2022.md,,,,,,,,
79,eu-tfr-recast-2023,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,2,2,eur-lex.europa.eu,analysis/review_queue/packets/0079-eu-tfr-recast-2023.md,,,,,,,,
81,fatf-r15-vasp-travel-rule-2019,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,1,2,2,www.fatf-gafi.org,analysis/review_queue/packets/0081-fatf-r15-vasp-travel-rule-2019.md,,,,,,,,
89,ftx-bankman-fried-doj-2022,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,4,4,3,3,www.cftc.gov;www.ftx.com;www.justice.gov;www.sec.gov,analysis/review_queue/packets/0089-ftx-bankman-fried-doj-2022.md,,,,,,,,
94,genesis-sec-gemini-earn-2023,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,4,4,www.sec.gov,analysis/review_queue/packets/0094-genesis-sec-gemini-earn-2023.md,,,,,,,,
95,germany-bafin-binance-licence-withdrawal-2023,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,4,4,www.bafin.de;www.binance.com,analysis/review_queue/packets/0095-germany-bafin-binance-licence-withdrawal-2023.md,,,,,,,,
98,helix-doj-mixer-2020,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,1,3,3,www.fincen.gov;www.justice.gov,analysis/review_queue/packets/0098-helix-doj-mixer-2020.md,,,,,,,,
107,india-fiu-offshore-vda-block-2023,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,1,2,2,www.meity.gov.in;www.pib.gov.in,analysis/review_queue/packets/0107-india-fiu-offshore-vda-block-2023.md,,,,,,,,
111,infura-alchemy-tornado-rpc-block-2022,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,4,4,3,3,cointelegraph.com;docs.alchemy.com;infura.io;www.theblock.co,analysis/review_queue/packets/0111-infura-alchemy-tornado-rpc-block-2022.md,,,,,,,,
115,iran-ransomware-ofac-2018,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,2,2,home.treasury.gov;ofac.treasury.gov,analysis/review_queue/packets/0115-iran-ransomware-ofac-2018.md,,,,,,,,
120,japan-fsa-coincheck-orders-2018,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,2,2,www.fsa.go.jp,analysis/review_queue/packets/0120-japan-fsa-coincheck-orders-2018.md,,,,,,,,
131,korea-fsc-ico-ban-2017,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,2,2,www.fsc.go.kr,analysis/review_queue/packets/0131-korea-fsc-ico-ban-2017.md,,,,,,,,
136,kraken-sec-unregistered-exchange-2023,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,1,1,blog.kraken.com;www.sec.gov,analysis/review_queue/packets/0136-kraken-sec-unregistered-exchange-2023.md,,,,,,,,
139,kucoin-doj-2024,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,2,4,4,www.cftc.gov;www.fincen.gov;www.justice.gov,analysis/review_queue/packets/0139-kucoin-doj-2024.md,,,,,,,,
147,malaysia-sc-binance-disable-2021,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,2,2,www.sc.com.my,analysis/review_queue/packets/0147-malaysia-sc-binance-disable-2021.md,,,,,,,,
158,netherlands-dnb-binance-warning-2021,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,2,2,www.dnb.nl,analysis/review_queue/packets/0158-netherlands-dnb-binance-warning-2021.md,,,,,,,,
163,oecd-carf-2022,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,2,2,www.oecd.org,analysis/review_queue/packets/0163-oecd-carf-2022.md,,,,,,,,
173,okx-privacy-token-delist-2024,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,1,1,www.okx.com,analysis/review_queue/packets/0173-okx-privacy-token-delist-2024.md,,,,,,,,
197,sec-burnside-bitcoin-stock-exchange-2014,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,4,4,www.sec.gov,analysis/review_queue/packets/0197-sec-burnside-bitcoin-stock-exchange-2014.md,,,,,,,,
199,sec-shavers-btcst-2013,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,2,2,www.sec.gov,analysis/review_queue/packets/0199-sec-shavers-btcst-2013.md,,,,,,,,
205,sec-v-ripple-2020,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,6,6,www.sec.gov,analysis/review_queue/packets/0205-sec-v-ripple-2020.md,,,,,,,,
206,sec-v-telegram-ton-2020,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,2,2,www.sec.gov,analysis/review_queue/packets/0206-sec-v-telegram-ton-2020.md,,,,,,,,
208,sec-voorhees-satoshidice-2014,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,3,3,www.sec.gov,analysis/review_queue/packets/0208-sec-voorhees-satoshidice-2014.md,,,,,,,,
210,shrem-faiella-bitcoin-exchange-2014,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,2,2,www.justice.gov,analysis/review_queue/packets/0210-shrem-faiella-bitcoin-exchange-2014.md,,,,,,,,
213,sinbad-doj-2024,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,2,2,complianceconcourse.willkie.com;www.justice.gov,analysis/review_queue/packets/0213-sinbad-doj-2024.md,,,,,,,,
214,sinbad-ofac-2023,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,2,2,home.treasury.gov;ofac.treasury.gov,analysis/review_queue/packets/0214-sinbad-ofac-2023.md,,,,,,,,
215,singapore-mas-binance-services-2021,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,2,2,www.mas.gov.sg,analysis/review_queue/packets/0215-singapore-mas-binance-services-2021.md,,,,,,,,
235,tornado-cash-storm-conviction-2025,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,1,1,www.justice.gov,analysis/review_queue/packets/0235-tornado-cash-storm-conviction-2025.md,,,,,,,,
241,uk-fca-binance-markets-2021,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,2,2,www.fca.org.uk,analysis/review_queue/packets/0241-uk-fca-binance-markets-2021.md,,,,,,,,
252,welcome-to-video-doj-2019,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,1,1,www.justice.gov,analysis/review_queue/packets/0252-welcome-to-video-doj-2019.md,,,,,,,,
1,1inch-us-geofence-2021-09,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,1,1,cryptoslate.com;help.1inch.io,analysis/review_queue/packets/0001-1inch-us-geofence-2021-09.md,,,,,,,,
2,aave-arc-fireblocks-whitelist-2022-01,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,3,2,2,cointelegraph.com;www.coindesk.com;www.fireblocks.com,analysis/review_queue/packets/0002-aave-arc-fireblocks-whitelist-2022-01.md,,,,,,,,
3,aave-tornado-frontend-block-2022-08,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,4,4,1,1,blockworks.co;cryptoslate.com;decrypt.co;twitter.com,analysis/review_queue/packets/0003-aave-tornado-frontend-block-2022-08.md,,,,,,,,
6,apple-india-crypto-exchange-removal-2024-01,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,3,1,1,cointelegraph.com;techcrunch.com;www.coindesk.com,analysis/review_queue/packets/0006-apple-india-crypto-exchange-removal-2024-01.md,,,,,,,,
7,argentina-cnv-psav-registration-2024,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,3,1,1,digitalpolicyalert.org;www.boletinoficial.gob.ar;www.marval.com,analysis/review_queue/packets/0007-argentina-cnv-psav-registration-2024.md,,,,,,,,
8,argentina-uif-resolution-300-2014,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,3,1,1,servicios.infoleg.gob.ar;www.coindesk.com;www.cronista.com,analysis/review_queue/packets/0008-argentina-uif-resolution-300-2014.md,,,,,,,,
9,augur-v2-us-uk-geofence-2020-07,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,1,1,augur.net;www.coindesk.com,analysis/review_queue/packets/0009-augur-v2-us-uk-geofence-2020-07.md,,,,,,,,
11,bangladesh-bb-bitcoin-warning-2014,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,3,0,0,futrlaw.org;www.coindesk.com;www.thedailystar.net,analysis/review_queue/packets/0011-bangladesh-bb-bitcoin-warning-2014.md,,,,,,,,
14,binance-busd-wind-down-2024,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,2,2,www.binance.com,analysis/review_queue/packets/0014-binance-busd-wind-down-2024.md,,,,,,,,
19,bitcoinica-shutdown-2012-05,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,7,7,2,2,bitcoinmagazine.com;bitcointalk.org;crypto.bi;medium.com;www.bitdefender.com,analysis/review_queue/packets/0019-bitcoinica-shutdown-2012-05.md,,,,,,,,
22,bitfinex-tether-nyag-2021,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,4,4,ag.ny.gov;tether.io,analysis/review_queue/packets/0022-bitfinex-tether-nyag-2021.md,,,,,,,,
24,bitmex-fincen-2024,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,1,1,www.justice.gov,analysis/review_queue/packets/0024-bitmex-fincen-2024.md,,,,,,,,
25,bitstamp-greece-portugal-exit-2023,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,2,2,www.bitstamp.net;www.bportugal.pt,analysis/review_queue/packets/0025-bitstamp-greece-portugal-exit-2023.md,,,,,,,,
29,bolivia-bcb-crypto-prohibition-2014,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,1,1,www.bcb.gob.bo;www.cityam.com,analysis/review_queue/packets/0029-bolivia-bcb-crypto-prohibition-2014.md,,,,,,,,
30,brazil-bacen-stablecoin-restriction-2023,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,3,3,3,www.loc.gov;www.planalto.gov.br,analysis/review_queue/packets/0030-brazil-bacen-stablecoin-restriction-2023.md,,,,,,,,
31,brazil-bcb-comunicado-25306-2014,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,1,1,www.bcb.gov.br;www.jusbrasil.com.br,analysis/review_queue/packets/0031-brazil-bcb-comunicado-25306-2014.md,,,,,,,,
33,bybit-singapore-exit-2022,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,1,1,announcements.bybit.com,analysis/review_queue/packets/0033-bybit-singapore-exit-2022.md,,,,,,,,
37,cftc-v-ftx-2022,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,1,1,www.cftc.gov,analysis/review_queue/packets/0037-cftc-v-ftx-2022.md,,,,,,,,
40,china-ico-ban-2017-09,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,3,2,2,www.cnbc.com;www.loc.gov;www.pbc.gov.cn,analysis/review_queue/packets/0040-china-ico-ban-2017-09.md,,,,,,,,
41,china-inner-mongolia-mining-ban-2021-05,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,4,4,1,1,fgw.nmg.gov.cn;www.cnbc.com;www.coindesk.com;www.scmp.com,analysis/review_queue/packets/0041-china-inner-mongolia-mining-ban-2021-05.md,,,,,,,,
45,china-pboc-exchange-shutdown-2017-09,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,4,4,2,2,qz.com;www.coindesk.com;www.pbc.gov.cn,analysis/review_queue/packets/0045-china-pboc-exchange-shutdown-2017-09.md,,,,,,,,
46,china-sichuan-mining-ban-2021-06,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,1,1,www.scmp.com;www.theblock.co,analysis/review_queue/packets/0046-china-sichuan-mining-ban-2021-06.md,,,,,,,,
47,china-state-council-mining-crackdown-2021-05,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,3,1,1,www.cnbc.com;www.gov.cn;www.reuters.com,analysis/review_queue/packets/0047-china-state-council-mining-crackdown-2021-05.md,,,,,,,,
50,circle-usdc-cryptex-freeze-2024,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,1,1,etherscan.io;ofac.treasury.gov,analysis/review_queue/packets/0050-circle-usdc-cryptex-freeze-2024.md,,,,,,,,
51,circle-usdc-svb-policy-statement-2023,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,1,1,www.circle.com,analysis/review_queue/packets/0051-circle-usdc-svb-policy-statement-2023.md,,,,,,,,
53,cloudflare-ethereum-gateway-tornado-block-2022-08,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,4,4,2,2,blog.cloudflare.com;torrentfreak.com;www.cloudflare.com;www.coindesk.com,analysis/review_queue/packets/0053-cloudflare-ethereum-gateway-tornado-block-2022-08.md,,,,,,,,
54,coin-mx-doj-murgio-2015,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,3,2,2,www.justice.gov,analysis/review_queue/packets/0054-coin-mx-doj-murgio-2015.md,,,,,,,,
57,coinbase-japan-exit-2023,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,1,1,www.coinbase.com,analysis/review_queue/packets/0057-coinbase-japan-exit-2023.md,,,,,,,,
59,consensys-metamask-infura-rpc-data-collection-2022-11,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,4,4,1,1,consensys.io;cryptoslate.com;decrypt.co;www.theblock.co,analysis/review_queue/packets/0059-consensys-metamask-infura-rpc-data-collection-2022-11.md,,,,,,,,
61,datacell-v-valitor-iceland-district-court-2012-07,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,6,6,1,1,grapevine.is;rsf.org;wikileaks.org;www.bloomberg.com;www.computerworld.com;www.fink.org,analysis/review_queue/packets/0061-datacell-v-valitor-iceland-district-court-2012-07.md,,,,,,,,
63,dydx-tornado-account-block-2022-08,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,4,4,2,2,cointelegraph.com;dydx.exchange;www.coindesk.com;www.theblock.co,analysis/review_queue/packets/0063-dydx-tornado-account-block-2022-08.md,,,,,,,,
64,eba-virtual-currencies-opinion-eba-op-2014-08,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,1,1,eba.europa.eu;www.eba.europa.eu,analysis/review_queue/packets/0064-eba-virtual-currencies-opinion-eba-op-2014-08.md,,,,,,,,
65,ebullion-doj-fbi-seizure-2008-08,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,3,2,2,en.wikipedia.org;www.fbi.gov;www.justice.gov,analysis/review_queue/packets/0065-ebullion-doj-fbi-seizure-2008-08.md,,,,,,,,
66,egold-doj-guilty-plea-2008-07,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,2,2,2,legalupdate.e-gold.com;www.justice.gov;www.secretservice.gov,analysis/review_queue/packets/0066-egold-doj-guilty-plea-2008-07.md,,,,,,,,
67,ens-eth-domain-tornado-resolution-2022,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,2,2,app.ens.domains;www.trustnodes.com,analysis/review_queue/packets/0067-ens-eth-domain-tornado-resolution-2022.md,,,,,,,,
68,etherscan-tornado-cash-ui-label-2022,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,3,3,3,etherscan.io;info.etherscan.com,analysis/review_queue/packets/0068-etherscan-tornado-cash-ui-label-2022.md,,,,,,,,
70,eu-14th-russia-sanctions-spfs-2024,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,3,1,1,enlargement.ec.europa.eu;eur-lex.europa.eu;www.consilium.europa.eu,analysis/review_queue/packets/0070-eu-14th-russia-sanctions-spfs-2024.md,,,,,,,,
71,eu-15th-russia-sanctions-2024,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,1,1,eur-lex.europa.eu;www.consilium.europa.eu,analysis/review_queue/packets/0071-eu-15th-russia-sanctions-2024.md,,,,,,,,
72,eu-amla-anti-money-laundering-authority-regulation-2024,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,2,2,eur-lex.europa.eu,analysis/review_queue/packets/0072-eu-amla-anti-money-laundering-authority-regulation-2024.md,,,,,,,,
73,eu-amlr-eu-single-rulebook-2024,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,1,1,eur-lex.europa.eu,analysis/review_queue/packets/0073-eu-amlr-eu-single-rulebook-2024.md,,,,,,,,
74,eu-belarus-crypto-services-ban-2022,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,1,1,eur-lex.europa.eu;www.coindesk.com,analysis/review_queue/packets/0074-eu-belarus-crypto-services-ban-2022.md,,,,,,,,
75,eu-dac8-crypto-asset-reporting-directive-2023,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,2,2,eur-lex.europa.eu;taxation-customs.ec.europa.eu,analysis/review_queue/packets/0075-eu-dac8-crypto-asset-reporting-directive-2023.md,,,,,,,,
80,fatf-grey-list-crypto-related-actions-2023-2024,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,4,4,1,1,complyadvantage.com;www.fatf-gafi.org;www.nortonrosefulbright.com,analysis/review_queue/packets/0080-fatf-grey-list-crypto-related-actions-2023-2024.md,,,,,,,,
82,fatf-targeted-update-va-vasp-2021,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,1,1,www.fatf-gafi.org,analysis/review_queue/packets/0082-fatf-targeted-update-va-vasp-2021.md,,,,,,,,
83,fatf-targeted-update-va-vasp-2023,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,1,1,www.fatf-gafi.org,analysis/review_queue/packets/0083-fatf-targeted-update-va-vasp-2023.md,,,,,,,,
84,fatf-virtual-currencies-key-definitions-2014,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,1,1,www.fatf-gafi.org,analysis/review_queue/packets/0084-fatf-virtual-currencies-key-definitions-2014.md,,,,,,,,
85,fbi-bitcoin-intelligence-assessment-2012-04,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,3,1,1,bitcointalk.org;wikispooks.com;www.justsecurity.org,analysis/review_queue/packets/0085-fbi-bitcoin-intelligence-assessment-2012-04.md,,,,,,,,
86,fincen-virtual-currency-msb-guidance-2013,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,1,1,www.fincen.gov,analysis/review_queue/packets/0086-fincen-virtual-currency-msb-guidance-2013.md,,,,,,,,
87,france-amf-binance-psan-2022,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,1,1,siecledigital.fr;www.amf-france.org,analysis/review_queue/packets/0087-france-amf-binance-psan-2022.md,,,,,,,,
88,fsb-crypto-asset-recommendations-2023,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,3,2,2,www.fsb.org,analysis/review_queue/packets/0088-fsb-crypto-asset-recommendations-2023.md,,,,,,,,
91,g20-roadmap-crypto-asset-policy-2023,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,1,1,www.fsb.org,analysis/review_queue/packets/0091-g20-roadmap-crypto-asset-policy-2023.md,,,,,,,,
92,g7-hiroshima-crypto-statement-2023,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,1,1,www.consilium.europa.eu;www.mofa.go.jp,analysis/review_queue/packets/0092-g7-hiroshima-crypto-statement-2023.md,,,,,,,,
96,google-play-india-crypto-exchange-removal-2024-01,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,3,1,1,cointelegraph.com;techcrunch.com;www.pymnts.com,analysis/review_queue/packets/0096-google-play-india-crypto-exchange-removal-2024-01.md,,,,,,,,
99,hongkong-hkma-stablecoins-ordinance-2025,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,3,3,3,www.hkma.gov.hk;www.info.gov.hk,analysis/review_queue/packets/0099-hongkong-hkma-stablecoins-ordinance-2025.md,,,,,,,,
100,hongkong-sfc-bybit-warning-2024,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,3,1,1,apps.sfc.hk;www.blockhead.co;www.coindesk.com,analysis/review_queue/packets/0100-hongkong-sfc-bybit-warning-2024.md,,,,,,,,
101,hongkong-sfc-jpex-block-2023,legacy_draft_promotion_review,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,3,1,1,www.elliptic.co;www.lexology.com;www.sfc.hk,analysis/review_queue/packets/0101-hongkong-sfc-jpex-block-2023.md,,,,,,,,
