row_id,event_id,layer,coverage_note,event_notes,recode_value,recoder_comment
12,semenov-ofac-2023,l0_network,No new L0 network-layer artifact attached for the 2023-08-23 Semenov event. tornado.cash is outside OONI's regular probe rotation for this window (same gap as tornado-cash-ofac-202,"comparison documenting the 2023-08-23 OFAC individual designation of Roman Semenov (Tornado Cash co-founder), co-occurring with the DOJ SDNY indictment of Semenov + Storm. The targ",not_measured,
13,semenov-ofac-2023,l1_consensus,"Wahrstätter relay_censorship_share.csv covers 2023-08-23 and surrounds at daily granularity (same upstream dataset as tornado-cash-ofac-2022). Slice [2023-08-09, 2023-09-06] attach","comparison documenting the 2023-08-23 OFAC individual designation of Roman Semenov (Tornado Cash co-founder), co-occurring with the DOJ SDNY indictment of Semenov + Storm. The targ",measured,
14,semenov-ofac-2023,l3_rpc,"No first-party RPC-filter-list snapshot, provider docs/status change, or replayable rejection bracketing 2023-08-23 is attached. Public RPC substrate snapshots are treated as backg","comparison documenting the 2023-08-23 OFAC individual designation of Roman Semenov (Tornado Cash co-founder), co-occurring with the DOJ SDNY indictment of Semenov + Storm. The targ",not_measured,
15,semenov-ofac-2023,l4_frontend,Tornado frontends were already offline from the 2022-08-08 cascade; no fresh canonical frontend action expected or documented for 2023-08-23. No third-party frontend artifact (1inc,"comparison documenting the 2023-08-23 OFAC individual designation of Roman Semenov (Tornado Cash co-founder), co-occurring with the DOJ SDNY indictment of Semenov + Storm. The targ",not_measured,
16,semenov-ofac-2023,asset_onchain,"Full scan of 8 ETH addresses via usdtbanlist.com (sources/asset_layer_scan/ semenov-ofac-2023.json): **8/8 blocked**, with remarkable speed and coverage: - Circle USDC: batch-black","comparison documenting the 2023-08-23 OFAC individual designation of Roman Semenov (Tornado Cash co-founder), co-occurring with the DOJ SDNY indictment of Semenov + Storm. The targ",measured,
17,semenov-ofac-2023,offramp_cex,"Chain-analytics anchors pinned 2026-04-22 as primary_corporate substrate for per-event offramp_cex reasoning (Chainalysis, TRM, Elliptic sanctions-coverage resource pages):   Chain","comparison documenting the 2023-08-23 OFAC individual designation of Roman Semenov (Tornado Cash co-founder), co-occurring with the DOJ SDNY indictment of Semenov + Storm. The targ",not_measured,
18,turkey-cbrt-crypto-ban-2021,l0_network,,comparison documenting Turkey's 2021-04-16 CBRT regulation prohibiting crypto-asset use in payments. Fourth major nation-state ban in the dataset. Structurally distinct from India ,not_applicable,
19,turkey-cbrt-crypto-ban-2021,l1_consensus,,comparison documenting Turkey's 2021-04-16 CBRT regulation prohibiting crypto-asset use in payments. Fourth major nation-state ban in the dataset. Structurally distinct from India ,not_applicable,
20,turkey-cbrt-crypto-ban-2021,l3_rpc,,comparison documenting Turkey's 2021-04-16 CBRT regulation prohibiting crypto-asset use in payments. Fourth major nation-state ban in the dataset. Structurally distinct from India ,not_applicable,
21,turkey-cbrt-crypto-ban-2021,l4_frontend,,comparison documenting Turkey's 2021-04-16 CBRT regulation prohibiting crypto-asset use in payments. Fourth major nation-state ban in the dataset. Structurally distinct from India ,not_applicable,
22,turkey-cbrt-crypto-ban-2021,asset_onchain,,comparison documenting Turkey's 2021-04-16 CBRT regulation prohibiting crypto-asset use in payments. Fourth major nation-state ban in the dataset. Structurally distinct from India ,not_applicable,
23,turkey-cbrt-crypto-ban-2021,offramp_cex,"CBRT Regulation explicitly prohibits Turkish payment institutions from processing crypto-asset-related transactions, severing direct TRY-to-crypto on-ramp rails (though exchanges t",comparison documenting Turkey's 2021-04-16 CBRT regulation prohibiting crypto-asset use in payments. Fourth major nation-state ban in the dataset. Structurally distinct from India ,measured,
24,blender-ofac-2022,l0_network,L0 network-layer OONI API query performed 2026-04-22. Searched the public OONI Explorer API (api.ooni.io/api/v1/measurements) for test_name=web_connectivity across the following do,comparison documenting the first-ever OFAC sanction of a virtual currency mixer. Blender.io was designated 94 days before Tornado Cash and tests whether the Tornado cascade shape g,not_measured,
25,blender-ofac-2022,l1_consensus,"Bitcoin-only target. Bitcoin has no PBS / relay-censorship analogue. Also, for any hypothetical Ethereum counterpart: event predates The Merge (2022-09-15) by 132 days, so even an ",comparison documenting the first-ever OFAC sanction of a virtual currency mixer. Blender.io was designated 94 days before Tornado Cash and tests whether the Tornado cascade shape g,not_applicable,
26,blender-ofac-2022,l3_rpc,Bitcoin transactions are broadcast via P2P network; no Ethereum-style OFAC-compliant RPC intermediary layer. ,comparison documenting the first-ever OFAC sanction of a virtual currency mixer. Blender.io was designated 94 days before Tornado Cash and tests whether the Tornado cascade shape g,not_applicable,
27,blender-ofac-2022,l4_frontend,"Canonical blender.io domain measured via Wayback snapshot 2022-05-16 (10 days post-event). Response 200 but body is 705 bytes of default nginx landing page (""Welcome to nginx! If y",comparison documenting the first-ever OFAC sanction of a virtual currency mixer. Blender.io was designated 94 days before Tornado Cash and tests whether the Tornado cascade shape g,measured,
28,blender-ofac-2022,asset_onchain,Bitcoin has no issuer-level freeze primitive.,comparison documenting the first-ever OFAC sanction of a virtual currency mixer. Blender.io was designated 94 days before Tornado Cash and tests whether the Tornado cascade shape g,not_applicable,
29,blender-ofac-2022,offramp_cex,"Chain-analytics anchors pinned 2026-04-22 as primary_corporate substrate for per-event offramp_cex reasoning (Chainalysis, TRM, Elliptic sanctions-coverage resource pages):   Chain",comparison documenting the first-ever OFAC sanction of a virtual currency mixer. Blender.io was designated 94 days before Tornado Cash and tests whether the Tornado cascade shape g,not_measured,
30,hydra-doj-2022,l0_network,Hydra operated on the Tor network; no public canonical-domain reachability measurement applies.,comparison documenting the 2022-04-05 DOJ/BKA takedown of Hydra darknet marketplace — the international criminal-enforcement companion to the same-day OFAC Garantex + Hydra SDN des,not_applicable,
31,hydra-doj-2022,l1_consensus,,comparison documenting the 2022-04-05 DOJ/BKA takedown of Hydra darknet marketplace — the international criminal-enforcement companion to the same-day OFAC Garantex + Hydra SDN des,not_applicable,
32,hydra-doj-2022,l3_rpc,,comparison documenting the 2022-04-05 DOJ/BKA takedown of Hydra darknet marketplace — the international criminal-enforcement companion to the same-day OFAC Garantex + Hydra SDN des,not_applicable,
33,hydra-doj-2022,l4_frontend,Hydra's .onion address(es) would have been effectively shut down when German BKA seized the physical infrastructure (as described in the DOJ press release). Wayback does not regula,comparison documenting the 2022-04-05 DOJ/BKA takedown of Hydra darknet marketplace — the international criminal-enforcement companion to the same-day OFAC Garantex + Hydra SDN des,measured,
34,hydra-doj-2022,asset_onchain,,comparison documenting the 2022-04-05 DOJ/BKA takedown of Hydra darknet marketplace — the international criminal-enforcement companion to the same-day OFAC Garantex + Hydra SDN des,not_applicable,
35,hydra-doj-2022,offramp_cex,"Chain-analytics anchors pinned 2026-04-22 as primary_corporate substrate for per-event offramp_cex reasoning (Chainalysis, TRM, Elliptic sanctions-coverage resource pages):   Chain",comparison documenting the 2022-04-05 DOJ/BKA takedown of Hydra darknet marketplace — the international criminal-enforcement companion to the same-day OFAC Garantex + Hydra SDN des,not_measured,
36,tether-retroactive-sweep-2023,l0_network,,S5_corporate / empirical_case (comparison) documenting a cross-event Tether retroactive freeze action on 2023-12-09. Tether froze at least 10 ETH addresses from 4 distinct OFAC SDN,not_applicable,
37,tether-retroactive-sweep-2023,l1_consensus,"PBS relay data shows a step *unrelated* to this specific action — the 2023-12 relay dynamics were driven by broader MEV-Boost ecosystem changes, not this Tether batch.",S5_corporate / empirical_case (comparison) documenting a cross-event Tether retroactive freeze action on 2023-12-09. Tether froze at least 10 ETH addresses from 4 distinct OFAC SDN,not_applicable,
38,tether-retroactive-sweep-2023,l3_rpc,,S5_corporate / empirical_case (comparison) documenting a cross-event Tether retroactive freeze action on 2023-12-09. Tether froze at least 10 ETH addresses from 4 distinct OFAC SDN,not_applicable,
39,tether-retroactive-sweep-2023,l4_frontend,,S5_corporate / empirical_case (comparison) documenting a cross-event Tether retroactive freeze action on 2023-12-09. Tether froze at least 10 ETH addresses from 4 distinct OFAC SDN,not_applicable,
40,tether-retroactive-sweep-2023,asset_onchain,Asset-layer is the entire observational axis for this corporate-policy event.,S5_corporate / empirical_case (comparison) documenting a cross-event Tether retroactive freeze action on 2023-12-09. Tether froze at least 10 ETH addresses from 4 distinct OFAC SDN,measured,
41,tether-retroactive-sweep-2023,offramp_cex,,S5_corporate / empirical_case (comparison) documenting a cross-event Tether retroactive freeze action on 2023-12-09. Tether froze at least 10 ETH addresses from 4 distinct OFAC SDN,not_applicable,
42,india-rbi-crypto-ban-2018,l0_network,"Banking-channel ban, not a DNS / connectivity action.",comparison documenting India's 2018-04-06 RBI Circular prohibiting banks from servicing crypto entities — the first major nation-state banking-level crypto ban in a major economy (,not_applicable,
43,india-rbi-crypto-ban-2018,l1_consensus,,comparison documenting India's 2018-04-06 RBI Circular prohibiting banks from servicing crypto entities — the first major nation-state banking-level crypto ban in a major economy (,not_applicable,
44,india-rbi-crypto-ban-2018,l3_rpc,,comparison documenting India's 2018-04-06 RBI Circular prohibiting banks from servicing crypto entities — the first major nation-state banking-level crypto ban in a major economy (,not_applicable,
45,india-rbi-crypto-ban-2018,l4_frontend,"Indian exchange frontends (zebpay.com, unocoin.com, wazirx.com, etc.) remained accessible; the ban operated at the INR-deposit/withdrawal banking layer rather than at the L4 applic",comparison documenting India's 2018-04-06 RBI Circular prohibiting banks from servicing crypto entities — the first major nation-state banking-level crypto ban in a major economy (,not_measured,
46,india-rbi-crypto-ban-2018,asset_onchain,,comparison documenting India's 2018-04-06 RBI Circular prohibiting banks from servicing crypto entities — the first major nation-state banking-level crypto ban in a major economy (,not_applicable,
47,india-rbi-crypto-ban-2018,offramp_cex,"The RBI circular is by construction an off-ramp-layer event — it severed banking rails between Indian exchanges and INR. Zebpay, then India's largest exchange, cited the RBI circul",comparison documenting India's 2018-04-06 RBI Circular prohibiting banks from servicing crypto entities — the first major nation-state banking-level crypto ban in a major economy (,measured,
48,korea-travel-rule-2022,l0_network,,comparison documenting South Korea's 2022-03-25 Travel Rule effective-date. First and one of the strictest national Travel Rule implementations globally — KRW 1M threshold is an or,not_applicable,
49,korea-travel-rule-2022,l1_consensus,,comparison documenting South Korea's 2022-03-25 Travel Rule effective-date. First and one of the strictest national Travel Rule implementations globally — KRW 1M threshold is an or,not_applicable,
50,korea-travel-rule-2022,l3_rpc,,comparison documenting South Korea's 2022-03-25 Travel Rule effective-date. First and one of the strictest national Travel Rule implementations globally — KRW 1M threshold is an or,not_applicable,
51,korea-travel-rule-2022,l4_frontend,"Travel Rule is backend KYC/transaction-metadata enforcement, not frontend takedown.",comparison documenting South Korea's 2022-03-25 Travel Rule effective-date. First and one of the strictest national Travel Rule implementations globally — KRW 1M threshold is an or,not_applicable,
52,korea-travel-rule-2022,asset_onchain,"No asset-layer blacklist; the rule restricts transfer metadata, not the underlying asset.",comparison documenting South Korea's 2022-03-25 Travel Rule effective-date. First and one of the strictest national Travel Rule implementations globally — KRW 1M threshold is an or,not_applicable,
53,korea-travel-rule-2022,offramp_cex,,comparison documenting South Korea's 2022-03-25 Travel Rule effective-date. First and one of the strictest national Travel Rule implementations globally — KRW 1M threshold is an or,measured,
54,russian-cybercrime-infra-ofac-2025,l0_network,,"null_event documenting the 2025-11-19 joint US/UK/AU action against Russian bulletproof hosting / cybercrime infrastructure. Third 2025 action in the ""hosting provider"" cluster (al",not_applicable,
55,russian-cybercrime-infra-ofac-2025,l1_consensus,,"null_event documenting the 2025-11-19 joint US/UK/AU action against Russian bulletproof hosting / cybercrime infrastructure. Third 2025 action in the ""hosting provider"" cluster (al",not_applicable,
56,russian-cybercrime-infra-ofac-2025,l3_rpc,,"null_event documenting the 2025-11-19 joint US/UK/AU action against Russian bulletproof hosting / cybercrime infrastructure. Third 2025 action in the ""hosting provider"" cluster (al",not_applicable,
57,russian-cybercrime-infra-ofac-2025,l4_frontend,,"null_event documenting the 2025-11-19 joint US/UK/AU action against Russian bulletproof hosting / cybercrime infrastructure. Third 2025 action in the ""hosting provider"" cluster (al",not_applicable,
58,russian-cybercrime-infra-ofac-2025,asset_onchain,,"null_event documenting the 2025-11-19 joint US/UK/AU action against Russian bulletproof hosting / cybercrime infrastructure. Third 2025 action in the ""hosting provider"" cluster (al",not_applicable,
59,russian-cybercrime-infra-ofac-2025,offramp_cex,,"null_event documenting the 2025-11-19 joint US/UK/AU action against Russian bulletproof hosting / cybercrime infrastructure. Third 2025 action in the ""hosting provider"" cluster (al",measured,
60,matveev-ofac-2023,l0_network,,null_event documenting the 2023-05-16 individual designation of Mikhail Matveev (WAZAWAKA). Public face of Babuk/Hive/LockBit ransomware variants. Datapoint for the ransomware-indi,not_applicable,
61,matveev-ofac-2023,l1_consensus,,null_event documenting the 2023-05-16 individual designation of Mikhail Matveev (WAZAWAKA). Public face of Babuk/Hive/LockBit ransomware variants. Datapoint for the ransomware-indi,not_applicable,
62,matveev-ofac-2023,l3_rpc,,null_event documenting the 2023-05-16 individual designation of Mikhail Matveev (WAZAWAKA). Public face of Babuk/Hive/LockBit ransomware variants. Datapoint for the ransomware-indi,not_applicable,
63,matveev-ofac-2023,l4_frontend,,null_event documenting the 2023-05-16 individual designation of Mikhail Matveev (WAZAWAKA). Public face of Babuk/Hive/LockBit ransomware variants. Datapoint for the ransomware-indi,not_applicable,
64,matveev-ofac-2023,asset_onchain,SDN XML addresses (not on RA page) would be cross-referenced to run freeze queries.,null_event documenting the 2023-05-16 individual designation of Mikhail Matveev (WAZAWAKA). Public face of Babuk/Hive/LockBit ransomware variants. Datapoint for the ransomware-indi,not_measured,
65,matveev-ofac-2023,offramp_cex,,null_event documenting the 2023-05-16 individual designation of Mikhail Matveev (WAZAWAKA). Public face of Babuk/Hive/LockBit ransomware variants. Datapoint for the ransomware-indi,measured,
66,lazarus-laundering-ofac-2020,l0_network,,"null_event documenting the 2020-03-02 designation of two Chinese nationals laundering DPRK-stolen cryptocurrency. Bitcoin-only, individual-level; all infrastructure layers not_appl",not_applicable,
67,lazarus-laundering-ofac-2020,l1_consensus,Bitcoin + pre-Merge by 929 days.,"null_event documenting the 2020-03-02 designation of two Chinese nationals laundering DPRK-stolen cryptocurrency. Bitcoin-only, individual-level; all infrastructure layers not_appl",not_applicable,
68,lazarus-laundering-ofac-2020,l3_rpc,,"null_event documenting the 2020-03-02 designation of two Chinese nationals laundering DPRK-stolen cryptocurrency. Bitcoin-only, individual-level; all infrastructure layers not_appl",not_applicable,
69,lazarus-laundering-ofac-2020,l4_frontend,,"null_event documenting the 2020-03-02 designation of two Chinese nationals laundering DPRK-stolen cryptocurrency. Bitcoin-only, individual-level; all infrastructure layers not_appl",not_applicable,
70,lazarus-laundering-ofac-2020,asset_onchain,Bitcoin native; no issuer freeze primitive.,"null_event documenting the 2020-03-02 designation of two Chinese nationals laundering DPRK-stolen cryptocurrency. Bitcoin-only, individual-level; all infrastructure layers not_appl",not_applicable,
71,lazarus-laundering-ofac-2020,offramp_cex,"14-day post-event public-CEX-announcement scan: no public statement from Binance, Huobi, Kraken, Coinbase, or other major exchanges specifically naming the 20 Lazarus-laundering BT","null_event documenting the 2020-03-02 designation of two Chinese nationals laundering DPRK-stolen cryptocurrency. Bitcoin-only, individual-level; all infrastructure layers not_appl",measured,
72,uniswap-frontend-delisting-2023,l0_network,"app.uniswap.org remained reachable globally; frontend restriction is client-side token-list filtering, not domain-level.",comparison — first S5 corporate-frontend-delisting event in the dataset. Paper-relevant because it isolates the **frontend-operator / protocol-layer split** that underlies the Torn,not_applicable,
73,uniswap-frontend-delisting-2023,l1_consensus,,comparison — first S5 corporate-frontend-delisting event in the dataset. Paper-relevant because it isolates the **frontend-operator / protocol-layer split** that underlies the Torn,not_applicable,
74,uniswap-frontend-delisting-2023,l3_rpc,,comparison — first S5 corporate-frontend-delisting event in the dataset. Paper-relevant because it isolates the **frontend-operator / protocol-layer split** that underlies the Torn,not_applicable,
75,uniswap-frontend-delisting-2023,l4_frontend,Frontend token-list filter — approximately 100+ ERC-20 tokens excluded from the Uniswap Labs-operated UI. Pool addresses for the restricted tokens remain routable on the underlying,comparison — first S5 corporate-frontend-delisting event in the dataset. Paper-relevant because it isolates the **frontend-operator / protocol-layer split** that underlies the Torn,measured,
76,uniswap-frontend-delisting-2023,asset_onchain,No token-contract-level freeze; the underlying ERC-20 contracts are operated by third parties and not restricted. Frontend-level only.,comparison — first S5 corporate-frontend-delisting event in the dataset. Paper-relevant because it isolates the **frontend-operator / protocol-layer split** that underlies the Torn,not_applicable,
77,uniswap-frontend-delisting-2023,offramp_cex,,comparison — first S5 corporate-frontend-delisting event in the dataset. Paper-relevant because it isolates the **frontend-operator / protocol-layer split** that underlies the Torn,not_applicable,
78,tether-dprk-precommit-freeze-2025,l0_network,,"comparison documenting a non-OFAC-triggered corporate Tether freeze action against a subset of DPRK-laundering USDT-TRC20 addresses, executed 2025-04-30 07:05 UTC in a batch. Paire",not_applicable,
79,tether-dprk-precommit-freeze-2025,l1_consensus,,"comparison documenting a non-OFAC-triggered corporate Tether freeze action against a subset of DPRK-laundering USDT-TRC20 addresses, executed 2025-04-30 07:05 UTC in a batch. Paire",not_applicable,
80,tether-dprk-precommit-freeze-2025,l3_rpc,,"comparison documenting a non-OFAC-triggered corporate Tether freeze action against a subset of DPRK-laundering USDT-TRC20 addresses, executed 2025-04-30 07:05 UTC in a batch. Paire",not_applicable,
81,tether-dprk-precommit-freeze-2025,l4_frontend,,"comparison documenting a non-OFAC-triggered corporate Tether freeze action against a subset of DPRK-laundering USDT-TRC20 addresses, executed 2025-04-30 07:05 UTC in a batch. Paire",not_applicable,
82,tether-dprk-precommit-freeze-2025,asset_onchain,"2 of 2 sampled addresses confirmed frozen by Tether on 2025-04-30 07:05 UTC with identical timestamps, frozen balances ranging 285K-302K USDT. Batch-freeze pattern indicates Tether","comparison documenting a non-OFAC-triggered corporate Tether freeze action against a subset of DPRK-laundering USDT-TRC20 addresses, executed 2025-04-30 07:05 UTC in a batch. Paire",measured,
83,tether-dprk-precommit-freeze-2025,offramp_cex,,"comparison documenting a non-OFAC-triggered corporate Tether freeze action against a subset of DPRK-laundering USDT-TRC20 addresses, executed 2025-04-30 07:05 UTC in a batch. Paire",not_applicable,
84,nigeria-cbn-crypto-ban-2021,l0_network,,"comparison documenting Nigeria's 2021-02-05 CBN ban on bank-crypto facilitation. Third major nation-state banking cut-off in the dataset (after India 2018, China 2021). Notable con",not_applicable,
85,nigeria-cbn-crypto-ban-2021,l1_consensus,,"comparison documenting Nigeria's 2021-02-05 CBN ban on bank-crypto facilitation. Third major nation-state banking cut-off in the dataset (after India 2018, China 2021). Notable con",not_applicable,
86,nigeria-cbn-crypto-ban-2021,l3_rpc,,"comparison documenting Nigeria's 2021-02-05 CBN ban on bank-crypto facilitation. Third major nation-state banking cut-off in the dataset (after India 2018, China 2021). Notable con",not_applicable,
87,nigeria-cbn-crypto-ban-2021,l4_frontend,,"comparison documenting Nigeria's 2021-02-05 CBN ban on bank-crypto facilitation. Third major nation-state banking cut-off in the dataset (after India 2018, China 2021). Notable con",not_applicable,
88,nigeria-cbn-crypto-ban-2021,asset_onchain,,"comparison documenting Nigeria's 2021-02-05 CBN ban on bank-crypto facilitation. Third major nation-state banking cut-off in the dataset (after India 2018, China 2021). Notable con",not_applicable,
89,nigeria-cbn-crypto-ban-2021,offramp_cex,CBN circular directly severed Naira deposit/withdrawal channels for cryptocurrency exchanges. Subsequent market reaction: Nigeria rapidly became the global leader in P2P Bitcoin tr,"comparison documenting Nigeria's 2021-02-05 CBN ban on bank-crypto facilitation. Third major nation-state banking cut-off in the dataset (after India 2018, China 2021). Notable con",measured,
